Country_EU,Year,General government revenue / Percent of GDP / ,General government total expenditure / National currency / Billions,Gross national savings / Percent of GDP / ,Total investment / Percent of GDP / ,Unemployment rate / Percent of total labor force / ,"Gross domestic product per capita, current prices / U.S. dollars / Units"
Austria,2000,48.591,108.201,25.221,25.927,3.883,24636.471
Austria,2001,50.699,113.255,24.365,25.161,4.008,24558.922
Austria,2002,50.566,118.878,25.745,23.643,4.392,26508.32
Austria,2003,48.544,115.759,25.957,24.409,4.792,32298.607
Austria,2004,48.865,130.152,26.137,24.061,5.875,36883.892
Austria,2005,48.613,129.97,26.084,23.825,6.025,38450.609
Austria,2006,47.815,134.925,26.905,23.61,5.6,40674.883
Austria,2007,47.859,139.836,28.387,24.584,5.217,46922.558
Austria,2008,48.35,146.502,28.957,24.467,4.442,51914.013
Austria,2009,48.785,155.95,25.372,22.775,5.683,48111.662
Austria,2010,48.382,156.338,25.463,22.608,5.192,46955.173
Austria,2011,48.315,157.831,25.771,24.141,4.875,51452.276
Austria,2012,49.024,163.192,25.46,23.977,5.25,48616.903
Austria,2013,49.698,167.292,25.666,23.723,5.35,50747.384
Austria,2014,49.596,174.318,26.006,23.532,6.033,51814.424
Austria,2015,49.981,175.671,25.531,23.806,6.167,44267.809
Austria,2016,48.537,179.059,26.981,24.256,6.467,45278.829
Austria,2017,48.485,182.091,26.21,24.836,5.925,47317.911
Austria,2018,48.917,187.851,26.801,25.543,5.208,51246.153
Austria,2019,49.169,193.059,28.314,25.471,4.825,50246.607
Belgium,2000,49.319,126.646,26.203,23.783,6.858,23136.511
Belgium,2001,49.612,130.527,24.126,22.634,6.567,23067.163
Belgium,2002,49.86,136.364,25.249,20.748,7.525,25044.331
Belgium,2003,49.183,143.545,24.362,20.964,8.175,30707.665
Belgium,2004,49.08,146.388,25.765,22.667,8.383,35497.552
Belgium,2005,49.147,160.792,25.676,23.681,8.475,36945.499
Belgium,2006,49.029,158.639,25.821,23.97,8.267,38841.785
Belgium,2007,48.629,166.871,26.099,24.603,7.492,44496.791
Belgium,2008,49.68,178.599,24.931,25.937,6.967,48493.137
Belgium,2009,49.25,189.454,23.831,22.173,7.908,44892.228
Belgium,2010,49.791,195.654,24.751,23.127,8.317,44448.17
Belgium,2011,50.974,207.927,22.568,24.507,7.15,47564.381
Belgium,2012,52.159,218.102,23.609,23.69,7.558,44824.163
Belgium,2013,52.987,220.47,23.383,22.428,8.45,46848.612
Belgium,2014,52.544,224.069,23.908,23.136,8.542,47897.037
Belgium,2015,51.306,223.851,25.011,23.628,8.508,41147.261
Belgium,2016,50.755,228.451,24.804,24.252,7.842,42076.398
Belgium,2017,51.348,231.567,25.15,24.451,7.108,44274.073
Belgium,2018,51.379,240.319,24.691,25.486,5.983,47718.412
Belgium,2019,50.179,248.101,25.328,24.979,5.375,46555.088
Bulgaria,2000,36.525,10.443,15.942,19.046,18.134,1625.322
Bulgaria,2001,35.897,11.303,17.727,21.351,17.514,1797.392
Bulgaria,2002,34.46,11.949,19.906,20.529,17.416,2090.683
Bulgaria,2003,35.767,13.103,18.699,22.074,13.857,2710.577
Bulgaria,2004,36.204,14.26,19.162,23.433,12.192,3370.382
Bulgaria,2005,36.22,16.002,18.329,27.74,10.177,3869.588
Bulgaria,2006,35.722,17.423,16.793,32.056,9.022,4477.028
Bulgaria,2007,36.223,21.026,9.755,33.627,6.935,5811.848
Bulgaria,2008,36.212,24.369,14.98,36.953,5.664,7156.175
Bulgaria,2009,32.916,24.714,20.241,28.538,6.878,6878.061
Bulgaria,2010,30.972,25.877,20.925,22.655,10.306,6713.329
Bulgaria,2011,30.274,25.923,21.797,21.467,11.35,7832.187
Bulgaria,2012,32.242,26.874,21.144,21.995,12.379,7417.268
Bulgaria,2013,33.841,29.175,22.361,21.083,13.038,7675.905
Bulgaria,2014,33.533,31.202,22.812,21.575,11.524,7900.697
Bulgaria,2015,34.636,33.437,21.049,21.049,9.233,7079.778
Bulgaria,2016,34.343,31.203,22.074,19.006,7.666,7575.767
Bulgaria,2017,32.96,32.888,23.2,19.882,6.23,8381.992
Bulgaria,2018,34.504,37.73,22.204,21.257,5.273,9470.584
Bulgaria,2019,35.077,43.165,22.938,21.107,4.275,9863.018
Croatia,2000,42.032,85.124,18.771,20.211,20.592,4938.113
Croatia,2001,40.451,88.859,19.259,21.438,21.508,5355.367
Croatia,2002,47.437,107.071,18.379,24.723,21.783,6228.622
Croatia,2003,45.531,116.393,19.067,28.129,19.067,8054.456
Croatia,2004,43.875,122.571,20.909,26.9,17.783,9368.621
Croatia,2005,43.267,126.701,19.752,26.996,17.583,10215.386
Croatia,2006,43.381,136.918,21.398,29.189,16.525,11356.452
Croatia,2007,43.412,147.098,21.24,29.062,14.733,13542.208
Croatia,2008,43.038,158.967,20.216,30.734,13.033,15839.939
Croatia,2009,42.828,161.669,18.59,25.155,14.517,14134.156
Croatia,2010,42.001,159.628,18.957,21.11,17.167,13562.418
Croatia,2011,40.934,163.167,18.241,19.94,17.367,14608.2
Croatia,2012,42.902,159.706,17.019,18.809,18.6,13257.015
Croatia,2013,42.841,159.817,18.331,19.391,19.808,13673.369
Croatia,2014,43.482,161.479,19.206,18.946,19.275,13600.786
Croatia,2015,45.44,165.208,23.905,20.607,17.067,11780.604
Croatia,2016,46.601,166.535,23.223,21.022,14.958,12362.591
Croatia,2017,46.119,166.452,25.466,21.996,12.433,13450.094
Croatia,2018,46.314,177.59,25.26,23.44,9.858,15013.369
Croatia,2019,47.462,189.743,25.687,22.648,7.758,14945.184
Cyprus,2000,32.731,3.705,16.06,20.32,4.842,14464.816
Cyprus,2001,33.608,4.078,16.235,17.665,3.925,14905.024
Cyprus,2002,33.291,4.445,18.632,20.268,3.517,16188.531
Cyprus,2003,34.479,5.188,18.356,19.525,4.108,20389.337
Cyprus,2004,34.926,5.354,17.505,21.965,4.625,23969.818
Cyprus,2005,37.464,5.883,17.171,22.345,5.3,25527.08
Cyprus,2006,38.085,6.26,18.232,24.504,4.55,27448.569
Cyprus,2007,40.792,6.578,13.648,24.245,3.925,31774.245
Cyprus,2008,39.084,7.265,14.215,28.802,3.65,36009.75
Cyprus,2009,36.455,7.823,16.186,22.772,5.325,32650.439
Cyprus,2010,37.109,8.115,13.293,23.912,6.275,31439.286
Cyprus,2011,36.526,8.355,16.611,18.8,7.85,32819.465
